iter	Passed	Remaining
0	159	159056
1	171	85450
2	182	60710
3	196	48812
4	203	40526
5	209	34670
6	216	30740
7	222	27542
8	227	25031
9	232	22991
10	237	21372
11	242	19978
12	248	18839
13	253	17827
14	258	16958
15	263	16208
16	268	15541
17	273	14910
18	279	14438
19	284	13944
20	289	13491
21	296	13159
22	301	12794
23	307	12484
24	312	12170
25	317	11893
26	322	11637
27	327	11377
28	332	11148
29	338	10953
30	345	10787
31	351	10629
32	356	10445
33	361	10279
34	368	10150
35	372	9982
36	377	9835
37	383	9701
38	387	9555
39	392	9414
40	397	9305
41	402	9180
42	407	9059
43	412	8962
44	417	8860
45	421	8750
46	427	8669
47	432	8575
48	437	8482
49	441	8393
50	446	8314
51	451	8231
52	456	8150
53	461	8085
54	466	8015
55	471	7955
56	478	7917
57	484	7871
58	489	7814
59	494	7747
60	500	7703
61	505	7645
62	510	7594
63	516	7550
64	521	7496
65	526	7446
66	531	7398
67	536	7347
68	540	7289
69	545	7240
70	548	7180
71	553	7135
72	557	7082
73	562	7039
74	566	6984
75	571	6944
76	575	6898
77	579	6852
78	584	6814
79	588	6765
80	593	6728
81	597	6687
82	602	6656
83	606	6617
84	611	6585
85	617	6561
86	621	6523
87	627	6507
88	635	6509
89	642	6494
90	649	6486
91	654	6458
92	660	6439
93	664	6408
94	669	6379
95	676	6368
96	681	6340
97	686	6314
98	692	6302
99	697	6279
100	703	6259
101	709	6242
102	714	6221
103	720	6203
104	725	6182
105	730	6158
106	736	6146
107	742	6128
108	746	6103
109	752	6087
110	757	6070
111	763	6054
112	771	6056
113	776	6033
114	781	6017
115	787	5998
116	792	5978
117	797	5959
118	803	5945
119	807	5924
120	817	5941
121	823	5925
122	827	5896
123	831	5873
124	835	5849
125	839	5826
126	843	5800
127	847	5775
128	852	5755
129	856	5732
130	860	5710
131	865	5688
132	870	5673
133	874	5652
134	878	5630
135	883	5610
136	888	5597
137	892	5577
138	897	5557
139	901	5540
140	905	5518
141	910	5500
142	915	5487
143	920	5472
144	924	5452
145	928	5431
146	933	5415
147	937	5398
148	941	5377
149	945	5357
150	950	5342
151	954	5326
152	959	5313
153	966	5308
154	971	5295
155	975	5279
156	980	5263
157	986	5255
158	991	5242
159	995	5226
160	1002	5221
161	1007	5209
162	1011	5196
163	1018	5189
164	1053	5333
165	1063	5341
166	1069	5333
167	1080	5353
168	1085	5339
169	1090	5322
170	1094	5305
171	1099	5293
172	1104	5279
173	1108	5262
174	1113	5251
175	1118	5238
176	1123	5222
177	1127	5205
178	1134	5201
179	1138	5187
180	1143	5172
181	1149	5166
182	1153	5150
183	1158	5135
184	1162	5123
185	1167	5109
186	1171	5094
187	1175	5077
188	1180	5064
189	1184	5047
190	1189	5038
191	1194	5026
192	1198	5012
193	1203	5002
194	1210	4996
195	1215	4984
196	1220	4973
197	1225	4963
198	1230	4951
199	1234	4937
200	1238	4922
201	1242	4908
202	1246	4893
203	1250	4881
204	1255	4867
205	1259	4854
206	1263	4838
207	1267	4826
208	1271	4812
209	1275	4798
210	1279	4784
211	1283	4771
212	1287	4757
213	1292	4745
214	1295	4731
215	1300	4719
216	1303	4704
217	1308	4692
218	1311	4678
219	1316	4668
220	1320	4654
221	1324	4642
222	1328	4628
223	1333	4620
224	1337	4607
225	1342	4596
226	1345	4582
227	1351	4576
228	1356	4566
229	1360	4554
230	1364	4543
231	1368	4530
232	1373	4520
233	1376	4507
234	1381	4496
235	1385	4484
236	1389	4473
237	1393	4461
238	1397	4450
239	1401	4438
240	1406	4428
241	1410	4416
242	1414	4406
243	1418	4394
244	1422	4384
245	1426	4371
246	1431	4365
247	1436	4355
248	1440	4343
249	1444	4334
250	1448	4322
251	1453	4314
252	1457	4303
253	1462	4293
254	1466	4284
255	1471	4276
256	1476	4267
257	1481	4260
258	1486	4251
259	1491	4244
260	1495	4234
261	1499	4224
262	1504	4216
263	1509	4208
264	1513	4198
265	1517	4188
266	1521	4177
267	1526	4169
268	1530	4159
269	1534	4149
270	1538	4139
271	1543	4131
272	1547	4121
273	1552	4112
274	1556	4102
275	1560	4094
276	1564	4084
277	1569	4075
278	1573	4065
279	1577	4056
280	1581	4047
281	1585	4037
282	1590	4028
283	1594	4019
284	1598	4010
285	1603	4003
286	1608	3994
287	1611	3984
288	1616	3976
289	1620	3966
290	1625	3961
291	1631	3955
292	1635	3946
293	1640	3939
294	1644	3930
295	1649	3922
296	1652	3912
297	1657	3904
298	1661	3896
299	1666	3889
300	1671	3880
301	1675	3871
302	1679	3863
303	1683	3854
304	1687	3845
305	1691	3836
306	1696	3828
307	1700	3820
308	1704	3811
309	1708	3802
310	1713	3795
311	1717	3786
312	1720	3776
313	1724	3768
314	1730	3764
315	1735	3756
316	1739	3747
317	1744	3741
318	1748	3733
319	1752	3724
320	1756	3716
321	1761	3709
322	1765	3700
323	1769	3691
324	1773	3682
325	1778	3676
326	1782	3667
327	1785	3658
328	1789	3650
329	1794	3644
330	1798	3635
331	1803	3627
332	1808	3622
333	1813	3615
334	1817	3607
335	1822	3600
336	1827	3594
337	1831	3586
338	1835	3579
339	1839	3570
340	1844	3564
341	1848	3557
342	1852	3548
343	1857	3541
344	1862	3535
345	1866	3527
346	1870	3519
347	1876	3515
348	1881	3509
349	1885	3502
350	1891	3497
351	1901	3499
352	1913	3506
353	1930	3522
354	1947	3537
355	1962	3550
356	1979	3564
357	1991	3571
358	2006	3582
359	2016	3584
360	2023	3581
361	2033	3583
362	2044	3587
363	2059	3598
364	2070	3602
365	2086	3613
366	2100	3622
367	2114	3632
368	2120	3626
369	2126	3621
370	2134	3619
371	2139	3612
372	2144	3605
373	2150	3599
374	2155	3592
375	2160	3586
376	2166	3580
377	2171	3573
378	2176	3566
379	2181	3559
380	2186	3553
381	2201	3561
382	2213	3566
383	2220	3562
384	2229	3562
385	2236	3557
386	2250	3564
387	2259	3564
388	2265	3558
389	2271	3553
390	2278	3549
391	2284	3543
392	2290	3537
393	2296	3532
394	2301	3525
395	2309	3522
396	2314	3515
397	2320	3509
398	2359	3554
399	2398	3597
400	2404	3592
401	2427	3610
402	2432	3604
403	2438	3597
404	2445	3592
405	2450	3585
406	2457	3580
407	2463	3574
408	2468	3566
409	2475	3562
410	2482	3558
411	2488	3552
412	2494	3545
413	2500	3538
414	2507	3534
415	2512	3527
416	2518	3520
417	2524	3515
418	2530	3508
419	2535	3501
420	2543	3497
421	2548	3490
422	2555	3485
423	2562	3481
424	2568	3474
425	2574	3469
426	2580	3463
427	2586	3456
428	2591	3449
429	2596	3442
430	2602	3436
431	2608	3429
432	2613	3422
433	2618	3414
434	2623	3408
435	2628	3400
436	2634	3394
437	2639	3387
438	2644	3379
439	2649	3371
440	2655	3365
441	2660	3358
442	2664	3350
443	2670	3344
444	2675	3336
445	2679	3328
446	2685	3322
447	2689	3314
448	2694	3306
449	2699	3299
450	2704	3291
451	2708	3283
452	2712	3275
453	2717	3268
454	2721	3259
455	2726	3252
456	2730	3244
457	2735	3237
458	2739	3229
459	2744	3221
460	2749	3214
461	2754	3207
462	2758	3199
463	2762	3191
464	2767	3184
465	2772	3177
466	2776	3168
467	2781	3161
468	2785	3153
469	2789	3145
470	2793	3137
471	2798	3130
472	2802	3121
473	2805	3113
474	2809	3105
475	2814	3098
476	2819	3091
477	2823	3083
478	2827	3075
479	2833	3070
480	2838	3062
481	2844	3057
482	2849	3050
483	2853	3042
484	2857	3034
485	2862	3027
486	2867	3020
487	2871	3012
488	2875	3004
489	2880	2997
490	2884	2990
491	2888	2982
492	2892	2974
493	2896	2966
494	2900	2959
495	2904	2951
496	2909	2944
497	2913	2937
498	2917	2929
499	2921	2921
500	2925	2914
501	2930	2907
502	2934	2899
503	2939	2892
504	2944	2886
505	2949	2879
506	2953	2872
507	2958	2865
508	2963	2858
509	2968	2852
510	2973	2845
511	2979	2839
512	2984	2832
513	2988	2825
514	3019	2843
515	3031	2843
516	3043	2843
517	3049	2837
518	3053	2830
519	3060	2825
520	3066	2819
521	3076	2816
522	3080	2809
523	3084	2802
524	3090	2795
525	3095	2789
526	3099	2781
527	3103	2774
528	3108	2767
529	3113	2760
530	3120	2756
531	3126	2750
532	3131	2743
533	3136	2736
534	3141	2730
535	3145	2722
536	3150	2716
537	3155	2710
538	3160	2703
539	3165	2696
540	3169	2689
541	3174	2682
542	3178	2675
543	3182	2667
544	3188	2661
545	3192	2654
546	3197	2647
547	3201	2640
548	3206	2633
549	3210	2626
550	3215	2620
551	3220	2613
552	3225	2607
553	3229	2600
554	3234	2593
555	3239	2587
556	3244	2580
557	3248	2573
558	3254	2567
559	3258	2560
560	3262	2552
561	3267	2546
562	3272	2539
563	3276	2532
564	3279	2525
565	3284	2518
566	3288	2511
567	3292	2504
568	3296	2496
569	3301	2490
570	3304	2483
571	3309	2476
572	3314	2469
573	3319	2463
574	3323	2456
575	3327	2449
576	3332	2443
577	3336	2436
578	3340	2429
579	3345	2422
580	3351	2417
581	3356	2410
582	3360	2403
583	3365	2397
584	3370	2391
585	3375	2384
586	3379	2377
587	3384	2371
588	3389	2365
589	3394	2358
590	3400	2353
591	3404	2346
592	3409	2339
593	3414	2333
594	3418	2326
595	3423	2320
596	3427	2313
597	3432	2307
598	3436	2300
