iter	RMSE
0	0.4951026139
1	0.4673009527
2	0.4415728056
3	0.4189099782
4	0.3980489827
5	0.3797986878
6	0.3639287539
7	0.3505065762
8	0.3379143758
9	0.327990457
10	0.3179864056
11	0.3082239629
12	0.2991158806
13	0.291991538
14	0.2854043199
15	0.2795189921
16	0.2737917893
17	0.2690737725
18	0.2650167635
19	0.2611339679
20	0.2573450577
21	0.2539452713
22	0.2503856059
23	0.2476828088
24	0.2449763119
25	0.2426767258
26	0.2404273262
27	0.2387965277
28	0.2369110635
29	0.2351021861
30	0.2335512701
31	0.2321622003
32	0.230475721
33	0.2290773803
34	0.2274969187
35	0.2260863233
36	0.2249218436
37	0.2237379643
38	0.2227644598
39	0.2219818809
40	0.2211091151
41	0.219891394
42	0.2191576301
43	0.2186159358
44	0.2181275825
45	0.217632348
46	0.2171303621
47	0.2165868771
48	0.2160081411
49	0.2153703316
50	0.2148876361
51	0.2142043369
52	0.2137046896
53	0.2134024152
54	0.2131129742
55	0.2125947935
56	0.2119594966
57	0.2115758829
58	0.2106793159
59	0.2100288271
60	0.2093357846
61	0.2089378358
62	0.2084603722
63	0.2081192568
64	0.2077003893
65	0.2072072704
66	0.2068557077
67	0.2063647624
68	0.2059142762
69	0.2055676078
70	0.2050965721
71	0.2046969503
72	0.2042879339
73	0.2040450373
74	0.2036815147
75	0.2033525501
76	0.2030618636
77	0.2026951675
78	0.2024670141
79	0.2021465445
80	0.2019618081
81	0.2017191533
82	0.2012971528
83	0.2011016308
84	0.2009222658
85	0.2005290884
86	0.2003422229
87	0.1999123802
88	0.1994831858
89	0.199310672
90	0.1989891913
91	0.1986648111
92	0.1984949674
93	0.1980650939
94	0.1977718497
95	0.1976055176
96	0.1971857645
97	0.1968148456
98	0.1966303692
99	0.1963482856
100	0.1960322974
101	0.1958204098
102	0.1956131884
103	0.1953356039
104	0.1950704744
105	0.1948669292
106	0.1945542154
107	0.1944542942
108	0.1942745132
109	0.1940685687
110	0.1938266627
111	0.1937696392
112	0.1935252485
113	0.1931147899
114	0.1927352762
115	0.1925869845
116	0.1922854137
117	0.1920555213
118	0.1918253966
119	0.1916340513
120	0.1913014232
121	0.1910398571
122	0.190801094
123	0.190738647
124	0.1903718773
125	0.1902188852
126	0.1899476972
127	0.1897423576
128	0.1896963331
129	0.1895312248
130	0.1891691839
131	0.1889926929
132	0.1887241996
133	0.1885944669
134	0.1884980682
135	0.1882092971
136	0.1880358297
137	0.1879187134
138	0.1876151287
139	0.1874372957
140	0.1871448018
141	0.1870139459
142	0.1867060128
143	0.1866140368
144	0.186426682
145	0.1862763777
146	0.186014773
147	0.1857830014
148	0.1857237992
149	0.1855939582
150	0.1854129798
151	0.1851725124
152	0.1848773578
153	0.1848024254
154	0.1846306402
155	0.1843958033
156	0.1841124838
157	0.1839398404
158	0.1837472109
159	0.1835941437
160	0.1835756904
161	0.183294258
162	0.1830979669
163	0.1829434842
164	0.1827542935
165	0.1826460987
166	0.182519648
167	0.1823767105
168	0.182289955
169	0.1822728609
170	0.1821416221
171	0.1819391837
172	0.181724074
173	0.1816255769
174	0.1814535939
175	0.1812723127
176	0.1811672744
177	0.1808989699
178	0.1806727762
179	0.1805292253
180	0.1804452708
181	0.1803937522
182	0.1802007316
183	0.1801263661
184	0.1799685754
185	0.1798264855
186	0.1797176141
187	0.179652553
188	0.1794647226
189	0.1793252774
190	0.1791147243
191	0.1790475608
192	0.1789092576
193	0.1788081845
194	0.1786857209
195	0.1783782276
196	0.1783722135
197	0.1782401002
198	0.1780594131
199	0.1779729463
200	0.1779674699
201	0.1777876098
202	0.177670902
203	0.1775617962
204	0.1772706022
205	0.1771308251
206	0.1769784572
207	0.176772384
208	0.176571495
209	0.1763581297
210	0.1762412916
211	0.1760891742
212	0.1759677689
213	0.1757471838
214	0.175636101
215	0.1755995838
216	0.1755145307
217	0.1754549524
218	0.1753462729
219	0.1752379995
220	0.1751298863
221	0.1750286559
222	0.1748425956
223	0.1747798195
224	0.1746484497
225	0.1745746419
226	0.1744493326
227	0.1743493186
228	0.174147053
229	0.1740286349
230	0.1740019597
231	0.1738096391
232	0.1736668013
233	0.1735167542
234	0.1733982591
235	0.1733008667
236	0.1732204306
237	0.1730926036
238	0.1728931767
239	0.172748064
240	0.1726575296
241	0.1725206729
242	0.1725121809
243	0.1723824817
244	0.1722095059
245	0.1721340232
246	0.1719842974
247	0.1718702869
248	0.1717680777
249	0.1717641478
250	0.1717599202
251	0.1716562237
252	0.17149792
253	0.1714931185
254	0.1714321884
255	0.1713285555
256	0.1712535757
257	0.1712490134
258	0.171147457
259	0.1710613665
260	0.1709935869
261	0.1708607038
262	0.1707796352
263	0.1707016105
264	0.1706140833
265	0.1706101583
266	0.1704584668
267	0.1703223579
268	0.1701982076
