iter	Passed	Remaining
0	2	2338
1	6	3024
2	45	15121
3	48	12040
4	51	10253
5	53	8910
6	56	7981
7	58	7292
8	62	6876
9	66	6542
10	69	6207
11	71	5888
12	74	5622
13	76	5357
14	78	5131
15	81	4992
16	83	4850
17	87	4769
18	90	4671
19	94	4635
20	97	4524
21	99	4417
22	101	4319
23	104	4233
24	106	4141
25	108	4075
26	111	4011
27	114	3966
28	116	3907
29	118	3837
30	121	3789
31	124	3767
32	126	3718
33	129	3674
34	131	3624
35	133	3571
36	136	3549
37	138	3517
38	141	3482
39	144	3459
40	146	3428
41	148	3394
42	151	3371
43	153	3337
44	156	3329
45	159	3304
46	161	3273
47	163	3244
48	165	3213
49	168	3196
50	170	3170
51	173	3156
52	175	3136
53	177	3111
54	179	3090
55	182	3071
56	184	3051
57	187	3043
58	189	3027
59	191	3007
60	194	2989
61	196	2971
62	199	2974
63	203	2975
64	205	2962
65	208	2945
66	210	2928
